planner,scenario,phase,attempted_count,completed_count,completion_rate,oom_count,other_failure_count,median_elapsed_us_completed_only,q1_elapsed_us_completed_only,q3_elapsed_us_completed_only,p95_elapsed_us_completed_only,median_expanded_nodes_completed_only,since_boot_minimum_free_heap,failure_stages,notes
DStarLite,dynamic_100x100_density20,initial,3,3,1.0,0,0,714578.0,714549.5,714578.5,714578.9,848.0,107172,,since_boot_minimum_free_heap is a global low-water mark
DStarLite,dynamic_100x100_density20,repair,3,3,1.0,0,0,545059.0,545058.0,545062.5,545065.3,1451.0,107172,,since_boot_minimum_free_heap is a global low-water mark
