experiment_id,planner,phase,grid_width,grid_height,density,update_mode,map_id,seed,repetition,warmup,status,success,path_cost,expanded_nodes,elapsed_us,free_heap_before,free_heap_after,since_boot_minimum_free_heap_before,since_boot_minimum_free_heap_after,failed_alloc_bytes,failure_stage,failure_reason,update_x,update_y,psram_enabled,cpu_frequency_mhz,esp_idf_version,firmware_git_commit
esp32_20260808T132117Z_DStarLite_dynamic_100x100_density20_i3,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i3,7823,0,0,OK,1,1452,888,767108,259428,171404,88588,88588,0,none,none,48,54,0,160,v5.2.2,unavailable
esp32_20260808T132117Z_DStarLite_dynamic_100x100_density20_i3,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i3,7823,0,0,OK,1,1458,1395,463503,172432,154596,88588,88588,0,none,none,48,54,0,160,v5.2.2,unavailable
esp32_20260808T132117Z_DStarLite_dynamic_100x100_density20_i3,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i3,7823,1,0,OK,1,1452,888,767172,259428,171404,88588,88588,0,none,none,48,54,0,160,v5.2.2,unavailable
esp32_20260808T132117Z_DStarLite_dynamic_100x100_density20_i3,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i3,7823,1,0,OK,1,1458,1395,463504,172432,154596,88588,88588,0,none,none,48,54,0,160,v5.2.2,unavailable
esp32_20260808T132117Z_DStarLite_dynamic_100x100_density20_i3,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i3,7823,2,0,OK,1,1452,888,767174,259428,171404,88588,88588,0,none,none,48,54,0,160,v5.2.2,unavailable
esp32_20260808T132117Z_DStarLite_dynamic_100x100_density20_i3,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i3,7823,2,0,OK,1,1458,1395,463512,172432,154596,88588,88588,0,none,none,48,54,0,160,v5.2.2,unavailable
