experiment_id,planner,phase,grid_width,grid_height,density,update_mode,map_id,seed,repetition,warmup,status,success,path_cost,expanded_nodes,elapsed_us,free_heap_before,free_heap_after,since_boot_minimum_free_heap_before,since_boot_minimum_free_heap_after,failed_alloc_bytes,failure_stage,failure_reason,update_x,update_y,psram_enabled,cpu_frequency_mhz,esp_idf_version,firmware_git_commit
esp32_20260808T132137Z_DStarLite_dynamic_100x100_density20_i4,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i4,7824,0,0,OK,1,1476,1432,1222555,259428,135084,81420,81420,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T132137Z_DStarLite_dynamic_100x100_density20_i4,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i4,7824,0,0,OK,1,1476,1432,16728,136112,135052,81420,81420,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T132137Z_DStarLite_dynamic_100x100_density20_i4,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i4,7824,1,0,OK,1,1476,1432,1222599,259428,135084,81420,81420,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T132137Z_DStarLite_dynamic_100x100_density20_i4,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i4,7824,1,0,OK,1,1476,1432,16727,136112,135052,81420,81420,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T132137Z_DStarLite_dynamic_100x100_density20_i4,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i4,7824,2,0,OK,1,1476,1432,1222596,259428,135084,81420,81420,0,none,none,47,51,0,160,v5.2.2,unavailable
esp32_20260808T132137Z_DStarLite_dynamic_100x100_density20_i4,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i4,7824,2,0,OK,1,1476,1432,16723,136112,135052,81420,81420,0,none,none,47,51,0,160,v5.2.2,unavailable
