experiment_id,planner,phase,grid_width,grid_height,density,update_mode,map_id,seed,repetition,warmup,status,success,path_cost,expanded_nodes,elapsed_us,free_heap_before,free_heap_after,since_boot_minimum_free_heap_before,since_boot_minimum_free_heap_after,failed_alloc_bytes,failure_stage,failure_reason,update_x,update_y,psram_enabled,cpu_frequency_mhz,esp_idf_version,firmware_git_commit
esp32_20260808T132054Z_DStarLite_dynamic_100x100_density20_i2,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i2,7822,0,0,OK,1,1464,1469,1247415,259428,131744,78544,78544,0,none,none,52,45,0,160,v5.2.2,unavailable
esp32_20260808T132054Z_DStarLite_dynamic_100x100_density20_i2,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i2,7822,0,0,OK,1,1470,2165,654378,132772,114108,78544,78544,0,none,none,52,45,0,160,v5.2.2,unavailable
esp32_20260808T132054Z_DStarLite_dynamic_100x100_density20_i2,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i2,7822,1,0,OK,1,1464,1469,1247513,259428,131744,78544,78544,0,none,none,52,45,0,160,v5.2.2,unavailable
esp32_20260808T132054Z_DStarLite_dynamic_100x100_density20_i2,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i2,7822,1,0,OK,1,1470,2165,654376,132772,114108,78544,78544,0,none,none,52,45,0,160,v5.2.2,unavailable
esp32_20260808T132054Z_DStarLite_dynamic_100x100_density20_i2,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i2,7822,2,0,OK,1,1464,1469,1247488,259428,131744,78544,78544,0,none,none,52,45,0,160,v5.2.2,unavailable
esp32_20260808T132054Z_DStarLite_dynamic_100x100_density20_i2,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i2,7822,2,0,OK,1,1470,2165,654369,132772,114108,78544,78544,0,none,none,52,45,0,160,v5.2.2,unavailable
