planner,scenario,phase,attempted_count,completed_count,completion_rate,oom_count,other_failure_count,median_elapsed_us_completed_only,q1_elapsed_us_completed_only,q3_elapsed_us_completed_only,p95_elapsed_us_completed_only,median_expanded_nodes_completed_only,since_boot_minimum_free_heap,failure_stages,notes
DStarLite,dynamic_100x100_density20,initial,3,3,1.0,0,0,1247488.0,1247451.5,1247500.5,1247510.5,1469.0,78544,,since_boot_minimum_free_heap is a global low-water mark
DStarLite,dynamic_100x100_density20,repair,3,3,1.0,0,0,654376.0,654372.5,654377.0,654377.8,2165.0,78544,,since_boot_minimum_free_heap is a global low-water mark
