experiment_id,planner,phase,grid_width,grid_height,density,update_mode,map_id,seed,repetition,warmup,status,success,path_cost,expanded_nodes,elapsed_us,free_heap_before,free_heap_after,since_boot_minimum_free_heap_before,since_boot_minimum_free_heap_after,failed_alloc_bytes,failure_stage,failure_reason,update_x,update_y,psram_enabled,cpu_frequency_mhz,esp_idf_version,firmware_git_commit
esp32_20260808T132239Z_DStarLite_dynamic_100x100_density20_i7,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,0,0,OK,1,1476,1461,1225810,259428,133496,67984,67984,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T132239Z_DStarLite_dynamic_100x100_density20_i7,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,0,0,OK,1,1482,2064,544211,134524,112468,67984,67984,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T132239Z_DStarLite_dynamic_100x100_density20_i7,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,1,0,OK,1,1476,1461,1225845,259428,133496,67984,67984,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T132239Z_DStarLite_dynamic_100x100_density20_i7,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,1,0,OK,1,1482,2064,544221,134524,112468,67984,67984,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T132239Z_DStarLite_dynamic_100x100_density20_i7,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,2,0,OK,1,1476,1461,1225819,259428,133496,67984,67984,0,none,none,53,43,0,160,v5.2.2,unavailable
esp32_20260808T132239Z_DStarLite_dynamic_100x100_density20_i7,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i7,7827,2,0,OK,1,1482,2064,544217,134524,112468,67984,67984,0,none,none,53,43,0,160,v5.2.2,unavailable
