experiment_id,planner,phase,grid_width,grid_height,density,update_mode,map_id,seed,repetition,warmup,status,success,path_cost,expanded_nodes,elapsed_us,free_heap_before,free_heap_after,since_boot_minimum_free_heap_before,since_boot_minimum_free_heap_after,failed_alloc_bytes,failure_stage,failure_reason,update_x,update_y,psram_enabled,cpu_frequency_mhz,esp_idf_version,firmware_git_commit
esp32_20260808T132217Z_DStarLite_dynamic_100x100_density20_i6,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,0,0,OK,1,1470,1199,988484,259428,151280,46540,46540,0,none,none,48,55,0,160,v5.2.2,unavailable
esp32_20260808T132217Z_DStarLite_dynamic_100x100_density20_i6,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,0,0,OK,1,1482,1813,551437,152308,125760,46540,46540,0,none,none,48,55,0,160,v5.2.2,unavailable
esp32_20260808T132217Z_DStarLite_dynamic_100x100_density20_i6,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,1,0,OK,1,1470,1199,988526,259428,151280,46540,46540,0,none,none,48,55,0,160,v5.2.2,unavailable
esp32_20260808T132217Z_DStarLite_dynamic_100x100_density20_i6,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,1,0,OK,1,1482,1813,551439,152308,125760,46540,46540,0,none,none,48,55,0,160,v5.2.2,unavailable
esp32_20260808T132217Z_DStarLite_dynamic_100x100_density20_i6,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,2,0,OK,1,1470,1199,988542,259428,151280,46540,46540,0,none,none,48,55,0,160,v5.2.2,unavailable
esp32_20260808T132217Z_DStarLite_dynamic_100x100_density20_i6,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i6,7826,2,0,OK,1,1482,1813,551428,152308,125760,46540,46540,0,none,none,48,55,0,160,v5.2.2,unavailable
