experiment_id,planner,phase,grid_width,grid_height,density,update_mode,map_id,seed,repetition,warmup,status,success,path_cost,expanded_nodes,elapsed_us,free_heap_before,free_heap_after,since_boot_minimum_free_heap_before,since_boot_minimum_free_heap_after,failed_alloc_bytes,failure_stage,failure_reason,update_x,update_y,psram_enabled,cpu_frequency_mhz,esp_idf_version,firmware_git_commit
esp32_20260808T132322Z_DStarLite_dynamic_100x100_density20_i9,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i9,7829,0,0,OK,1,1452,1000,845067,259428,164912,127068,127068,0,none,none,52,48,0,160,v5.2.2,unavailable
esp32_20260808T132322Z_DStarLite_dynamic_100x100_density20_i9,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i9,7829,0,0,OK,1,1452,1032,39324,165940,164780,127068,127068,0,none,none,52,48,0,160,v5.2.2,unavailable
esp32_20260808T132322Z_DStarLite_dynamic_100x100_density20_i9,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i9,7829,1,0,OK,1,1452,1000,845116,259428,164912,127068,127068,0,none,none,52,48,0,160,v5.2.2,unavailable
esp32_20260808T132322Z_DStarLite_dynamic_100x100_density20_i9,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i9,7829,1,0,OK,1,1452,1032,39316,165940,164780,127068,127068,0,none,none,52,48,0,160,v5.2.2,unavailable
esp32_20260808T132322Z_DStarLite_dynamic_100x100_density20_i9,DStarLite,initial,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i9,7829,2,0,OK,1,1452,1000,845107,259428,164912,127068,127068,0,none,none,52,48,0,160,v5.2.2,unavailable
esp32_20260808T132322Z_DStarLite_dynamic_100x100_density20_i9,DStarLite,repair,100,100,20,path_blocking,esp32_dynamic_100x100_density20_i9,7829,2,0,OK,1,1452,1032,39314,165940,164780,127068,127068,0,none,none,52,48,0,160,v5.2.2,unavailable
