experiment_id,planner,phase,grid_width,grid_height,density,update_mode,map_id,seed,repetition,warmup,status,success,path_cost,expanded_nodes,elapsed_us,free_heap_before,free_heap_after,since_boot_minimum_free_heap_before,since_boot_minimum_free_heap_after,failed_alloc_bytes,failure_stage,failure_reason,update_x,update_y,psram_enabled,cpu_frequency_mhz,esp_idf_version,firmware_git_commit
esp32_20260808T132446Z_AStar_initial_500x500_density20_i0,AStar,initial,500,500,20,none,esp32_initial_500x500_density20_i0,27020,0,0,OOM,0,-1,-1,-1,299432,299280,299432,299280,1000000,grid_allocation,bad_alloc_heap_callback,-1,-1,0,160,v5.2.2,unavailable
esp32_20260808T132446Z_JPS_initial_500x500_density20_i0,JPS,initial,500,500,20,none,esp32_initial_500x500_density20_i0,27020,0,0,OOM,0,-1,-1,-1,299432,299280,299432,299280,1000000,grid_allocation,bad_alloc_heap_callback,-1,-1,0,160,v5.2.2,unavailable
esp32_20260808T132446Z_DStarLite_initial_500x500_density20_i0,DStarLite,initial,500,500,20,none,esp32_initial_500x500_density20_i0,27020,0,0,OOM,0,-1,-1,-1,299432,299280,299432,299280,1000000,grid_allocation,bad_alloc_heap_callback,-1,-1,0,160,v5.2.2,unavailable
