experiment_id,planner,phase,grid_width,grid_height,density,update_mode,map_id,seed,repetition,warmup,status,success,path_cost,expanded_nodes,elapsed_us,free_heap_before,free_heap_after,since_boot_minimum_free_heap_before,since_boot_minimum_free_heap_after,failed_alloc_bytes,failure_stage,failure_reason,update_x,update_y,psram_enabled,cpu_frequency_mhz,esp_idf_version,firmware_git_commit
esp32_20260808T131225Z_AStar_initial_50x50_density10_i0,AStar,initial,50,50,10,none,esp32_initial_50x50_density10_i0,4410,0,0,OK,1,704,263,39971,289428,289000,249500,249500,0,none,none,-1,-1,0,160,v5.2.2,unavailable
esp32_20260808T131225Z_JPS_initial_50x50_density10_i0,JPS,initial,50,50,10,none,esp32_initial_50x50_density10_i0,4410,0,0,OK,1,704,133,37770,285328,282904,253572,253572,0,none,none,-1,-1,0,160,v5.2.2,unavailable
esp32_20260808T131225Z_DStarLite_initial_50x50_density10_i0,DStarLite,initial,50,50,10,none,esp32_initial_50x50_density10_i0,4410,0,0,OK,1,704,215,202516,289428,259332,257712,257712,0,none,none,-1,-1,0,160,v5.2.2,unavailable
